"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home",
"0400000US29","Missouri","2803637","7688","2544177","8051","2288917","7768","255260","3817","202983","3244","31642","1480","12161","1154","5125","596","3349","444","41741","1568","37750","1496","441","155","2736","388","622","165","192","101","2085","337","4199","382","7114","654","53557","1945","22532","1150","128232","2721",
"0500000US29001","Adair County, Missouri","10849","500","9691","490","8456","464","1235","238","780","154","336","162","41","28","41","48","37","42","5","7","5","7","0","20","0","20","0","20","0","20","9","12","50","45","199","128","486","174","25","22","384","164",
"0500000US29003","Andrew County, Missouri","8397","332","7919","318","7352","323","567","145","506","147","36","39","18","14","3","5","4","6","5","8","5","8","0","17","0","17","0","17","0","17","0","17","19","16","0","17","91","59","28","26","335","99",
"0500000US29005","Atchison County, Missouri","2597","92","2388","93","2152","95","236","56","181","50","30","17","8","8","3","4","14","11","4","5","0","15","0","15","4","5","0","15","0","15","0","15","3","5","4","5","85","31","8","6","105","24",
"0500000US29007","Audrain County, Missouri","10584","409","9564","446","8464","475","1100","218","826","208","147","73","96","66","27","26","4","6","36","42","36","42","0","20","0","20","0","20","0","20","0","20","13","16","18","29","355","104","244","112","354","115",
"0500000US29009","Barry County, Missouri","13885","554","12674","586","10943","643","1731","331","1478","314","182","107","29","21","29","28","13","23","44","35","44","35","0","23","0","23","0","23","0","23","0","23","3","4","0","23","307","124","149","100","708","186",
"0500000US29011","Barton County, Missouri","4962","262","4387","270","3947","302","440","134","308","118","109","66","19","14","0","17","4","7","19","20","19","20","0","17","0","17","0","17","0","17","26","33","2","3","0","17","187","83","17","22","324","91",
"0500000US29013","Bates County, Missouri","7123","287","6227","287","5300","288","927","191","662","172","225","93","15","11","21","25","4","5","47","52","47","52","0","17","0","17","0","17","0","17","0","17","19","19","0","17","263","109","49","28","518","172",
"0500000US29015","Benton County, Missouri","5971","331","5393","320","4660","345","733","143","604","140","84","51","37","43","0","17","8","9","39","45","39","45","0","17","0","17","0","17","0","17","0","17","20","19","0","17","91","48","46","32","382","92",
"0500000US29017","Bollinger County, Missouri","4658","265","4389","273","3529","253","860","170","602","145","134","68","81","61","9","14","34","28","18","18","18","18","0","17","0","17","0","17","0","17","0","17","0","17","0","17","109","48","13","20","129","60",
"0500000US29019","Boone County, Missouri","89093","1169","79443","1226","70375","1320","9068","1016","7685","976","1059","360","118","73","121","106","85","66","854","274","841","273","12","19","1","2","0","26","0","26","154","134","223","105","849","185","3577","550","607","175","3386","464",
"0500000US29021","Buchanan County, Missouri","41283","706","38834","789","34134","897","4700","564","3610","477","754","360","233","103","75","65","28","33","341","100","326","106","0","26","0","26","7","10","8","15","73","53","152","77","35","34","700","199","265","161","883","147",
"0500000US29023","Butler County, Missouri","16879","720","15593","694","14026","723","1567","274","1190","220","213","92","156","130","8","12","0","23","73","87","73","87","0","23","0","23","0","23","0","23","7","13","18","23","52","57","380","135","288","117","468","178",
"0500000US29025","Caldwell County, Missouri","3742","166","3442","166","3148","160","294","70","244","62","42","22","5","7","3","4","0","15","2","3","2","3","0","15","0","15","0","15","0","15","0","15","0","15","0","15","71","33","28","21","199","82",
"0500000US29027","Callaway County, Missouri","19465","680","18179","733","16183","698","1996","324","1726","305","214","112","50","36","0","23","6","9","29","33","29","33","0","23","0","23","0","23","0","23","0","23","22","34","31","29","215","117","396","218","593","136",
"0500000US29029","Camden County, Missouri","16772","733","15530","720","13564","731","1966","293","1514","271","216","106","115","71","73","54","48","40","10","14","10","14","0","23","0","23","0","23","0","23","2","4","50","43","0","23","106","61","179","77","895","239",
"0500000US29031","Cape Girardeau County, Missouri","36486","797","34108","867","30702","878","3406","543","2651","461","459","207","121","80","111","68","64","71","162","96","77","52","6","11","0","26","25","29","54","64","33","27","114","59","53","48","944","182","237","131","835","186",
"0500000US29033","Carroll County, Missouri","3763","200","3329","203","2994","190","335","92","242","74","69","28","20","24","2","3","2","4","2","3","2","3","0","15","0","15","0","15","0","15","0","15","0","15","8","12","51","37","48","27","325","96",
"0500000US29035","Carter County, Missouri","2410","226","2022","211","1757","206","265","164","259","165","6","11","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","96","62","75","67","217","79",
"0500000US29037","Cass County, Missouri","48407","696","45266","709","40693","705","4573","506","3711","472","492","171","276","135","65","49","29","23","73","47","64","44","0","26","5","7","0","26","4","7","0","26","165","107","37","29","272","96","239","105","2355","331",
"0500000US29039","Cedar County, Missouri","5050","347","4658","340","4222","344","436","130","304","109","105","69","15","25","0","17","12","18","0","17","0","17","0","17","0","17","0","17","0","17","0","17","17","26","23","37","107","52","35","56","210","77",
"0500000US29041","Chariton County, Missouri","3272","148","2923","159","2535","170","388","65","267","58","58","19","13","12","15","14","35","26","7","7","7","7","0","15","0","15","0","15","0","15","0","15","0","15","0","15","49","22","33","28","260","62",
"0500000US29043","Christian County, Missouri","37721","830","34945","844","31213","914","3732","533","2797","465","605","199","161","98","94","94","75","74","45","54","42","54","0","26","3","6","0","26","0","26","19","30","68","54","22","34","337","146","503","197","1782","292",
"0500000US29045","Clark County, Missouri","3149","156","2794","166","2548","174","246","67","171","52","67","32","8","9","0","15","0","15","3","4","3","4","0","15","0","15","0","15","0","15","0","15","0","15","0","15","105","53","59","40","188","59",
"0500000US29047","Clay County, Missouri","118872","1284","110074","1416","100024","1625","10050","761","8119","712","1195","315","403","242","137","71","196","111","738","213","688","209","0","26","39","44","0","26","11","19","27","42","140","58","95","52","1486","310","792","223","5520","538",
"0500000US29049","Clinton County, Missouri","9699","340","9152","312","7963","336","1189","170","926","157","173","78","54","34","36","52","0","20","62","77","62","77","0","20","0","20","0","20","0","20","0","20","16","18","17","21","108","47","55","40","289","111",
"0500000US29051","Cole County, Missouri","36044","568","34128","594","30807","633","3321","440","2637","362","416","152","179","119","64","62","25","29","132","91","132","91","0","26","0","26","0","26","0","26","41","59","49","41","16","21","416","145","352","176","910","189",
"0500000US29053","Cooper County, Missouri","7740","231","7234","260","6453","266","781","140","639","131","45","25","37","22","44","35","16","18","6","7","6","7","0","17","0","17","0","17","0","17","7","11","3","4","5","9","174","64","52","31","259","63",
"0500000US29055","Crawford County, Missouri","9187","430","8614","409","7445","391","1169","235","906","197","161","75","102","83","0","20","0","20","25","29","25","29","0","20","0","20","0","20","0","20","0","20","8","13","0","20","146","62","40","34","354","110",
"0500000US29057","Dade County, Missouri","3117","164","2687","169","2294","176","393","104","319","104","39","26","27","24","5","8","3","4","2","3","2","3","0","15","0","15","0","15","0","15","0","15","2","4","4","6","99","46","45","54","278","92",
"0500000US29059","Dallas County, Missouri","5710","410","5112","412","4050","483","1062","277","834","238","180","121","27","32","21","24","0","17","5","9","5","9","0","17","0","17","0","17","0","17","0","17","11","19","67","48","121","89","109","87","285","114",
"0500000US29061","Daviess County, Missouri","3357","151","2933","160","2487","159","446","79","285","74","48","26","67","33","26","13","20","16","5","7","5","7","0","15","0","15","0","15","0","15","32","20","6","9","0","15","108","41","100","69","173","49",
