"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"0400000US29","Missouri","57290","288",
"0500000US29001","Adair County, Missouri","42301","3100",
"0500000US29003","Andrew County, Missouri","58911","5466",
"0500000US29005","Atchison County, Missouri","51625","2731",
"0500000US29007","Audrain County, Missouri","44699","2170",
"0500000US29009","Barry County, Missouri","45811","4109",
"0500000US29011","Barton County, Missouri","44510","3487",
"0500000US29013","Bates County, Missouri","46733","4940",
"0500000US29015","Benton County, Missouri","41751","2827",
"0500000US29017","Bollinger County, Missouri","45140","5523",
"0500000US29019","Boone County, Missouri","58740","2118",
"0500000US29021","Buchanan County, Missouri","51933","2358",
"0500000US29023","Butler County, Missouri","42227","3208",
"0500000US29025","Caldwell County, Missouri","51451","2828",
"0500000US29027","Callaway County, Missouri","59835","3004",
"0500000US29029","Camden County, Missouri","53520","3048",
"0500000US29031","Cape Girardeau County, Missouri","53776","3349",
"0500000US29033","Carroll County, Missouri","51414","3295",
"0500000US29035","Carter County, Missouri","42403","8539",
"0500000US29037","Cass County, Missouri","72522","2494",
"0500000US29039","Cedar County, Missouri","39408","2427",
"0500000US29041","Chariton County, Missouri","51545","5090",
"0500000US29043","Christian County, Missouri","64442","2702",
"0500000US29045","Clark County, Missouri","45842","5437",
"0500000US29047","Clay County, Missouri","72047","1822",
"0500000US29049","Clinton County, Missouri","62213","3243",
"0500000US29051","Cole County, Missouri","61184","2420",
"0500000US29053","Cooper County, Missouri","53003","2564",
"0500000US29055","Crawford County, Missouri","44380","2805",
"0500000US29057","Dade County, Missouri","42117","3049",
"0500000US29059","Dallas County, Missouri","40404","4913",
"0500000US29061","Daviess County, Missouri","52143","1829",
"0500000US29063","DeKalb County, Missouri","58433","5689",
"0500000US29065","Dent County, Missouri","42714","4224",
"0500000US29067","Douglas County, Missouri","43714","4203",
"0500000US29069","Dunklin County, Missouri","38020","2215",
"0500000US29071","Franklin County, Missouri","60129","2380",
"0500000US29073","Gasconade County, Missouri","56380","3306",
"0500000US29075","Gentry County, Missouri","46774","4892",
"0500000US29077","Greene County, Missouri","47053","1192",
"0500000US29079","Grundy County, Missouri","46885","5039",
"0500000US29081","Harrison County, Missouri","40615","6218",
"0500000US29083","Henry County, Missouri","47500","3241",
"0500000US29085","Hickory County, Missouri","33342","4020",
"0500000US29087","Holt County, Missouri","46442","5396",
"0500000US29089","Howard County, Missouri","55000","3456",
"0500000US29091","Howell County, Missouri","39482","2253",
"0500000US29093","Iron County, Missouri","40082","4378",
"0500000US29095","Jackson County, Missouri","56960","935",
"0500000US29097","Jasper County, Missouri","49155","1910",
