"GEO_ID","NAME","B19013_001E","B19013_001M",
"0500000US29099","Jefferson County, Missouri","67606","1791",
"0500000US29101","Johnson County, Missouri","56440","1769",
"0500000US29103","Knox County, Missouri","37588","5025",
"0500000US29105","Laclede County, Missouri","46582","4112",
"0500000US29107","Lafayette County, Missouri","62076","4760",
"0500000US29109","Lawrence County, Missouri","44060","2017",
"0500000US29111","Lewis County, Missouri","45118","4361",
"0500000US29113","Lincoln County, Missouri","70424","2469",
"0500000US29115","Linn County, Missouri","51150","4585",
"0500000US29117","Livingston County, Missouri","50818","2696",
"0500000US29119","McDonald County, Missouri","42876","3522",
"0500000US29121","Macon County, Missouri","44696","4023",
"0500000US29123","Madison County, Missouri","47984","4771",
"0500000US29125","Maries County, Missouri","48276","4993",
"0500000US29127","Marion County, Missouri","54277","3027",
"0500000US29129","Mercer County, Missouri","50030","7144",
"0500000US29131","Miller County, Missouri","47964","3859",
"0500000US29133","Mississippi County, Missouri","34354","5883",
"0500000US29135","Moniteau County, Missouri","57012","4281",
"0500000US29137","Monroe County, Missouri","43422","2864",
"0500000US29139","Montgomery County, Missouri","52123","3430",
"0500000US29141","Morgan County, Missouri","41477","3914",
"0500000US29143","New Madrid County, Missouri","40129","3674",
"0500000US29145","Newton County, Missouri","52067","2770",
"0500000US29147","Nodaway County, Missouri","46303","1565",
"0500000US29149","Oregon County, Missouri","32766","5910",
"0500000US29151","Osage County, Missouri","62087","4011",
"0500000US29153","Ozark County, Missouri","33046","2351",
"0500000US29155","Pemiscot County, Missouri","34709","3995",
"0500000US29157","Perry County, Missouri","56861","3876",
"0500000US29159","Pettis County, Missouri","49315","1798",
"0500000US29161","Phelps County, Missouri","44987","2662",
"0500000US29163","Pike County, Missouri","44920","2613",
"0500000US29165","Platte County, Missouri","82448","2996",
"0500000US29167","Polk County, Missouri","47614","4042",
"0500000US29169","Pulaski County, Missouri","58426","3784",
"0500000US29171","Putnam County, Missouri","48833","10785",
"0500000US29173","Ralls County, Missouri","54194","4750",
"0500000US29175","Randolph County, Missouri","50440","2365",
"0500000US29177","Ray County, Missouri","65303","5200",
"0500000US29179","Reynolds County, Missouri","39552","6556",
"0500000US29181","Ripley County, Missouri","36066","5463",
"0500000US29183","St. Charles County, Missouri","87644","1416",
"0500000US29185","St. Clair County, Missouri","39000","2170",
"0500000US29186","Ste. Genevieve County, Missouri","61746","9436",
"0500000US29187","St. Francois County, Missouri","46307","3162",
"0500000US29189","St. Louis County, Missouri","68661","1106",
"0500000US29195","Saline County, Missouri","47585","2975",
"0500000US29197","Schuyler County, Missouri","44420","3397",
"0500000US29199","Scotland County, Missouri","47708","11866",
"0500000US29201","Scott County, Missouri","46310","1948",
"0500000US29203","Shannon County, Missouri","36229","4854",
"0500000US29205","Shelby County, Missouri","43809","2848",
"0500000US29207","Stoddard County, Missouri","42761","3336",
"0500000US29209","Stone County, Missouri","51476","2049",
"0500000US29211","Sullivan County, Missouri","44056","6958",
"0500000US29213","Taney County, Missouri","47860","3033",
"0500000US29215","Texas County, Missouri","35758","3498",
"0500000US29217","Vernon County, Missouri","43910","4344",
"0500000US29219","Warren County, Missouri","64735","4365",
"0500000US29221","Washington County, Missouri","42849","2273",
"0500000US29223","Wayne County, Missouri","38018","5891",
"0500000US29225","Webster County, Missouri","55827","1712",
"0500000US29227","Worth County, Missouri","47500","12265",
"0500000US29229","Wright County, Missouri","36711","2455",
"0500000US29510","St. Louis city, Missouri","45782","1076",
