"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"0500000US29027","Callaway County, Missouri","19655","705","18127","730","16267","782","1860","432","1492","403","160","98","96","65","59","56","53","68","116","108","116","108","0","25","0","25","0","25","0","25","2","4","9","14","15","24","338","183","147","82","901","220",
"0500000US29029","Camden County, Missouri","18816","802","17121","816","15560","899","1561","328","1369","335","111","47","81","53","0","25","0","25","100","79","100","79","0","25","0","25","0","25","0","25","0","25","3","5","0","25","180","112","150","84","1262","344",
"0500000US29031","Cape Girardeau County, Missouri","37823","920","34862","983","30480","1007","4382","576","3513","524","601","157","184","94","45","34","39","23","95","92","95","92","0","28","0","28","0","28","0","28","167","113","58","48","33","31","594","189","238","136","1776","357",
"0500000US29033","Carroll County, Missouri","3599","232","3165","256","2858","238","307","86","233","84","52","31","12","13","0","17","10","11","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","33","33","32","26","369","118",
"0500000US29035","Carter County, Missouri","2563","273","2162","214","1865","220","297","144","246","122","0","17","14","24","0","17","37","65","2","6","2","6","0","17","0","17","0","17","0","17","0","17","0","17","0","17","39","33","3","6","357","179",
"0500000US29037","Cass County, Missouri","51285","1011","47128","1035","43432","1120","3696","487","3111","461","338","150","164","97","53","65","30","48","23","23","0","28","6","8","12","18","0","28","5","7","0","28","12","17","39","47","549","225","348","182","3186","573",
"0500000US29039","Cedar County, Missouri","5046","382","4383","371","4056","370","327","125","218","108","49","47","29","46","17","30","14","16","26","39","26","39","0","19","0","19","0","19","0","19","0","19","0","19","0","19","112","73","95","78","430","174",
"0500000US29041","Chariton County, Missouri","3130","184","2787","171","2467","170","320","92","253","89","41","21","7","8","19","15","0","17","28","22","0","17","0","17","0","17","28","22","0","17","0","17","0","17","2","5","85","46","33","23","195","69",
"0500000US29043","Christian County, Missouri","41942","899","39158","897","35698","1127","3460","642","2740","608","523","178","58","44","41","48","98","83","2","5","0","28","2","5","0","28","0","28","0","28","39","40","33","34","23","27","656","225","214","138","1817","312",
"0500000US29045","Clark County, Missouri","3063","133","2563","164","2252","179","311","85","211","70","77","42","5","8","18","20","0","17","3","4","3","4","0","17","0","17","0","17","0","17","0","17","0","17","0","17","148","63","79","48","270","140",
"0500000US29047","Clay County, Missouri","128117","1967","116469","1806","105720","1701","10749","1047","8456","849","1683","683","349","165","178","157","83","62","406","185","390","183","0","28","0","28","0","28","16","19","149","108","290","127","47","49","1574","430","802","204","8380","853",
"0500000US29049","Clinton County, Missouri","9173","390","8483","396","7604","359","879","216","694","185","55","44","119","68","11","16","0","22","70","72","47","64","0","22","0","22","0","22","23","35","0","22","0","22","0","22","38","26","42","29","540","171",
"0500000US29051","Cole County, Missouri","37403","1006","34764","972","31665","1008","3099","460","2341","396","488","188","211","117","18","19","41","58","156","94","144","94","0","28","12","16","0","28","0","28","28","40","29","37","17","28","545","219","453","178","1411","298",
"0500000US29053","Cooper County, Missouri","7459","327","6790","325","5993","332","797","126","699","114","67","41","21","12","4","4","6","9","11","10","11","10","0","19","0","19","0","19","0","19","25","23","3","5","10","14","93","38","148","62","379","94",
"0500000US29055","Crawford County, Missouri","9347","543","8667","543","7353","515","1314","309","1127","302","158","90","5","9","8","12","16","27","40","39","40","39","0","22","0","22","0","22","0","22","0","22","0","22","29","38","133","64","62","46","416","175",
"0500000US29057","Dade County, Missouri","3063","161","2619","179","2352","186","267","85","249","86","6","9","6","8","3","4","3","5","9","13","9","13","0","17","0","17","0","17","0","17","0","17","0","17","6","6","64","35","78","73","287","105",
"0500000US29059","Dallas County, Missouri","5979","417","5249","382","4641","389","608","247","468","217","98","89","42","49","0","19","0","19","8","13","8","13","0","19","0","19","0","19","0","19","0","19","0","19","17","30","69","88","310","178","326","141",
"0500000US29061","Daviess County, Missouri","3543","143","3099","173","2647","187","452","96","290","64","91","46","38","27","19","15","14","13","0","17","0","17","0","17","0","17","0","17","0","17","45","36","0","17","11","17","86","33","53","29","249","78",
"0500000US29063","DeKalb County, Missouri","3975","233","3588","230","3286","246","302","96","207","78","91","59","4","7","0","19","0","19","1","2","1","2","0","19","0","19","0","19","0","19","0","19","0","19","7","11","100","69","21","24","258","100",
"0500000US29065","Dent County, Missouri","6380","437","5977","411","5510","444","467","135","406","136","38","33","14","17","0","19","9","13","18","20","18","20","0","19","0","19","0","19","0","19","0","19","7","13","0","19","66","47","48","34","264","108",
"0500000US29067","Douglas County, Missouri","4966","385","4504","407","4063","396","441","166","401","163","36","41","4","7","0","19","0","19","9","10","9","10","0","19","0","19","0","19","0","19","0","19","0","19","8","15","73","64","123","108","249","145",
"0500000US29069","Dunklin County, Missouri","11316","502","10505","504","8797","501","1708","292","1244","242","349","147","75","66","40","35","0","22","20","30","20","30","0","22","0","22","0","22","0","22","41","44","14","21","80","80","249","125","39","23","368","112",
"0500000US29071","Franklin County, Missouri","48852","1158","44917","1315","40175","1321","4742","609","3777","560","526","173","255","186","180","132","4","8","77","65","77","65","0","28","0","28","0","28","0","28","0","28","11","13","57","49","702","235","273","121","2815","531",
"0500000US29073","Gasconade County, Missouri","6900","255","6349","262","5740","275","609","147","524","119","42","27","9","13","30","45","4","7","3","6","3","6","0","19","0","19","0","19","0","19","0","19","0","19","0","19","118","58","113","105","317","102",
"0500000US29075","Gentry County, Missouri","2929","127","2526","122","2246","135","280","78","213","79","25","16","38","29","4","5","0","17","43","34","43","34","0","17","0","17","0","17","0","17","13","28","0","17","0","17","141","52","25","16","181","64",
