"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation:","Margin of Error!!Total:!!Public transportation:","Estimate!!Total:!!Public transportation:!!Bus","Margin of Error!!Total:!!Public transportation:!!Bus","Estimate!!Total:!!Public transportation:!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation:!!Subway or elevated rail","Estimate!!Total:!!Public transportation:!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation:!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation:!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation:!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation:!!Ferryboat","Margin of Error!!Total:!!Public transportation:!!Ferryboat","Estimate!!Total:!!Taxi or ride-hailing services","Margin of Error!!Total:!!Taxi or ride-hailing services","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"0400000US29","Missouri","2959377","9159","2455770","10032","2215039","9418","240731","4498","185378","3805","35530","1559","10747","926","5387","532","3689","487","24849","1355","21463","1296","1686","387","682","235","826","222","192","76","4862","708","3650","560","5647","632","52097","2172","27630","1440","384872","5367",
"0500000US29001","Adair County, Missouri","10783","577","9472","575","8394","544","1078","263","758","209","253","142","54","53","8","25","5","14","8","14","8","14","0","23","0","23","0","23","0","23","0","23","0","23","36","38","322","113","79","44","866","180",
"0500000US29003","Andrew County, Missouri","8750","318","8028","305","7387","307","641","157","490","147","117","55","29","28","5","8","0","19","2","4","0","19","0","19","0","19","0","19","2","4","0","19","12","17","0","19","60","76","36","34","612","155",
"0500000US29005","Atchison County, Missouri","2531","117","2289","131","2073","143","216","59","194","56","18","14","0","17","0","17","4","5","39","36","39","36","0","17","0","17","0","17","0","17","2","3","0","17","0","17","25","15","22","13","154","58",
"0500000US29007","Audrain County, Missouri","10001","384","9193","426","8359","408","834","192","556","156","93","66","113","99","43","43","29","67","27","37","27","37","0","23","0","23","0","23","0","23","11","18","1","2","0","23","258","102","126","58","385","111",
"0500000US29009","Barry County, Missouri","14845","504","12945","502","10740","572","2205","431","1646","332","382","211","99","70","78","80","0","26","60","57","60","57","0","26","0","26","0","26","0","26","12","19","0","26","0","26","220","90","46","45","1562","270",
"0500000US29011","Barton County, Missouri","4832","384","4328","389","4067","388","261","107","217","103","40","36","0","19","0","19","4","9","0","19","0","19","0","19","0","19","0","19","0","19","1","3","0","19","5","7","95","58","27","22","376","120",
"0500000US29013","Bates County, Missouri","6982","272","6102","259","5629","258","473","123","340","106","96","59","27","18","0","19","10","15","15","20","3","6","12","19","0","19","0","19","0","19","0","19","0","19","0","19","115","53","67","47","683","160",
"0500000US29015","Benton County, Missouri","6796","404","6055","373","5206","388","849","201","714","189","104","61","31","34","0","23","0","23","2","6","2","6","0","23","0","23","0","23","0","23","0","23","6","8","3","5","136","95","76","61","518","136",
