"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"0500000US29001","Adair County, Missouri","13711","136","135","64","0","22","0","22","0","22","0","22","31","32","4","7","20","31","16","16","32","53","217","99","141","75","184","67","270","102","168","63","4348","389","462","126","943","176","1436","234","1024","188","1975","289","1412","247","109","70","784","163",
"0500000US29003","Andrew County, Missouri","12240","96","56","37","0","19","0","19","0","19","0","19","0","19","0","19","0","19","7","9","8","11","215","99","85","67","161","99","246","99","127","82","3803","353","647","147","758","160","2042","269","834","151","2011","268","907","186","182","78","151","72",
"0500000US29005","Atchison County, Missouri","3842","26","30","19","0","17","0","17","3","4","2","5","0","17","0","17","0","17","6","7","0","17","42","20","53","32","58","19","123","52","39","17","1413","133","165","53","291","49","580","99","165","37","651","90","161","40","47","20","13","9",
"0500000US29007","Audrain County, Missouri","17514","96","270","154","6","9","0","22","24","37","0","22","0","22","0","22","4","8","54","36","51","35","418","137","312","121","423","158","483","144","332","98","6162","418","1377","219","1033","171","2420","402","1639","252","1639","230","737","180","90","52","40","33",
"0500000US29009","Barry County, Missouri","25023","176","205","83","0","25","7","15","4","9","67","77","3","7","7","17","22","20","141","97","138","144","508","144","554","205","934","255","976","283","356","136","8845","687","1529","271","1802","340","3207","416","1954","343","2563","468","773","225","327","155","101","71",
"0500000US29011","Barton County, Missouri","8104","62","106","64","0","19","0","19","0","19","0","19","3","5","0","19","0","19","50","41","12","11","192","69","140","102","223","153","203","98","168","82","2827","265","444","127","639","188","1015","200","555","222","1066","217","362","110","75","53","24","20",
"0500000US29013","Bates County, Missouri","11259","31","94","44","0","19","9","14","0","19","0","19","0","19","0","19","7","9","12","15","42","35","221","72","191","83","263","92","407","137","213","74","4770","368","427","113","903","175","1216","180","819","156","1141","197","413","108","63","53","48","35",
"0500000US29015","Benton County, Missouri","14958","80","184","81","0","19","0","19","6","9","0","19","0","19","12","19","30","30","28","33","0","19","469","121","247","104","429","117","411","128","254","102","4644","338","1215","229","1363","229","2164","311","1309","223","1122","201","908","201","75","41","88","70",
"0500000US29017","Bollinger County, Missouri","8718","79","87","65","0","19","0","19","0","19","0","19","0","19","24","25","7","15","33","43","37","25","197","84","323","110","347","120","288","116","87","36","3458","283","585","164","864","198","952","191","490","182","585","153","202","64","26","30","126","104",
"0500000US29019","Boone County, Missouri","108906","57","1102","385","0","28","36","54","39","64","25","37","70","92","34","51","110","100","151","104","187","144","632","171","604","191","970","240","1062","270","810","221","18816","1203","3586","485","6848","676","13811","934","8049","819","29384","1378","13894","1310","4278","541","4408","512",
"0500000US29021","Buchanan County, Missouri","59767","210","793","270","0","28","0","28","0","28","1","3","72","76","38","35","1","4","170","153","185","103","954","241","849","232","1118","201","1362","309","1143","247","18273","884","4005","345","4621","477","9381","658","3724","465","9023","662","2738","313","789","175","527","158",
"0500000US29023","Butler County, Missouri","29313","182","233","105","0","25","0","25","5","8","0","25","10","16","15","21","9","13","123","72","138","72","711","197","658","214","1316","336","899","270","563","234","9298","692","2124","350","2543","433","4624","477","2233","330","2342","346","1024","207","279","122","166","104",
"0500000US29025","Caldwell County, Missouri","6201","47","92","34","0","17","0","17","0","17","0","17","0","17","0","17","0","17","13","13","1","2","89","43","135","66","116","42","88","30","80","27","2336","182","425","105","372","63","955","148","567","121","656","119","194","56","62","36","20","17",
"0500000US29027","Callaway County, Missouri","30895","151","256","126","0","25","0","25","0","25","0","25","0","25","8","17","8","10","80","75","77","58","388","130","518","161","853","201","752","213","702","268","8399","698","2566","449","2347","330","3961","447","2734","376","4832","513","1975","306","254","116","185","87",
"0500000US29029","Camden County, Missouri","34886","210","185","111","0","25","11","20","0","25","0","25","23","32","0","25","0","25","10","16","36","34","338","185","246","98","814","293","529","177","760","274","11534","729","1600","335","2420","317","5634","596","2984","430","5319","596","1715","248","398","114","330","145",
"0500000US29031","Cape Girardeau County, Missouri","50736","137","278","103","18","25","0","28","8","14","11","22","0","28","24","23","59","49","79","70","88","48","630","159","600","229","1107","335","866","225","499","167","14047","710","1945","293","3429","421","8053","674","2825","408","9850","728","4275","540","1022","243","1023","240",
"0500000US29033","Carroll County, Missouri","6143","68","43","27","0","17","0","17","0","17","0","17","19","25","0","17","0","17","6","6","30","33","125","58","127","59","256","113","84","43","74","35","2433","199","248","76","474","101","702","152","434","110","722","131","303","71","31","23","32","30",
"0500000US29035","Carter County, Missouri","4069","90","20","25","0","17","0","17","0","17","0","17","0","17","0","17","1","4","0","17","5","10","91","57","84","50","227","118","78","68","55","34","1627","196","373","141","202","87","405","135","284","102","394","135","222","98","0","17","1","3",
"0500000US29037","Cass County, Missouri","71534","264","301","103","1","2","0","28","46","51","0","28","0","28","17","19","106","81","249","169","79","58","626","176","511","186","732","190","921","218","1035","333","20891","1178","2816","424","6691","648","11094","648","6106","551","12888","791","4947","506","1020","234","457","146",
"0500000US29039","Cedar County, Missouri","9773","76","76","72","0","19","0","19","0","19","0","19","0","19","0","19","19","34","18","31","46","40","296","140","314","153","202","104","169","67","176","94","3215","365","707","246","946","235","1287","272","959","238","816","210","480","180","41","42","6","6",
"0500000US29041","Chariton County, Missouri","5260","23","9","8","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","4","6","107","46","92","41","108","60","104","48","63","27","2268","165","190","63","431","88","489","90","424","87","650","112","303","88","7","7","11","17",
"0500000US29043","Christian County, Missouri","58874","154","259","109","28","39","23","37","0","28","1","4","0","28","97","97","33","52","96","109","43","35","433","137","483","168","1075","310","1080","230","833","210","14087","793","2524","376","4669","519","9549","727","5503","607","11300","732","5291","778","789","242","678","192",
"0500000US29045","Clark County, Missouri","4800","4","16","16","0","17","8","12","0","17","0","17","0","17","0","17","0","17","0","17","10","10","124","67","83","35","176","64","122","49","109","60","2036","175","221","64","310","90","546","101","453","135","358","88","191","67","22","20","15","14",
"0500000US29047","Clay County, Missouri","167058","183","1477","310","39","34","0","28","0","28","22","25","44","48","123","85","39","38","375","157","213","130","947","292","1092","256","1933","406","2074","432","2730","515","40596","1640","6172","662","13353","868","26523","1363","14428","1005","36651","1416","14188","1057","2489","359","1550","256",
"0500000US29049","Clinton County, Missouri","14184","78","72","47","0","22","0","22","6","8","0","22","0","22","0","22","0","22","0","22","0","22","96","56","169","81","238","80","306","140","140","65","5446","377","703","190","1033","152","1695","230","1165","200","2152","304","751","178","168","71","44","24",
