"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"0400000US29","Missouri","6059651","*****","5000875","2896","701896","3009","25641","1129","107953","1518","6479","573","68766","2836","148041","3775","12082","1367","135959","3526",
"0500000US29001","Adair County, Missouri","25547","*****","23649","154","565","97","61","42","523","122","94","65","89","60","566","181","141","122","425","136",
"0500000US29003","Andrew County, Missouri","17347","*****","16691","110","261","133","64","39","76","47","40","56","24","26","191","76","24","33","167","69",
"0500000US29005","Atchison County, Missouri","5380","*****","5263","7","27","16","15","16","19","3","0","15","1","2","55","17","7","8","48","16",
"0500000US29007","Audrain County, Missouri","25868","*****","23048","236","1534","122","59","59","68","50","5","9","250","121","904","228","150","206","754","136",
"0500000US29009","Barry County, Missouri","35716","*****","33203","401","65","47","171","69","541","54","0","23","926","398","810","90","7","7","803","90",
"0500000US29011","Barton County, Missouri","12075","*****","11347","94","28","20","218","77","69","89","3","5","132","109","278","105","43","46","235","83",
"0500000US29013","Bates County, Missouri","16513","*****","15791","74","165","75","92","33","30","15","9","13","129","72","297","94","10","16","287","93",
"0500000US29015","Benton County, Missouri","18825","*****","18246","49","70","32","65","43","34","27","5","8","39","37","366","69","25","25","341","65",
"0500000US29017","Bollinger County, Missouri","12282","*****","12007","17","35","27","98","72","31","10","0","17","0","17","111","72","0","17","111","72",
"0500000US29019","Boone County, Missouri","172773","*****","141402","527","14222","765","348","202","7319","364","153","64","1618","574","7711","791","313","185","7398","788",
"0500000US29021","Buchanan County, Missouri","89415","*****","79397","332","4596","383","246","129","896","151","129","81","782","279","3369","471","298","137","3071","445",
"0500000US29023","Butler County, Missouri","42887","*****","38864","137","2268","187","218","127","290","116","10","15","178","133","1059","246","10","16","1049","243",
"0500000US29025","Caldwell County, Missouri","9057","*****","8712","41","70","20","34","24","21","19","0","15","45","30","175","34","12","12","163","31",
"0500000US29027","Callaway County, Missouri","44693","*****","40975","141","1690","147","132","86","402","95","6","10","191","98","1297","240","56","55","1241","228",
"0500000US29029","Camden County, Missouri","44152","*****","42611","208","314","71","227","101","274","98","0","23","280","205","446","154","0","23","446","154",
"0500000US29031","Cape Girardeau County, Missouri","78089","*****","68802","242","5986","323","214","144","1125","155","17","18","299","125","1646","382","64","63","1582","381",
"0500000US29033","Carroll County, Missouri","9009","*****","8658","35","82","57","2","3","25","19","0","15","31","35","211","51","0","15","211","51",
"0500000US29035","Carter County, Missouri","6249","*****","5966","52","5","7","107","79","0","15","0","15","14","22","157","78","6","11","151","79",
"0500000US29037","Cass County, Missouri","101324","*****","93058","288","3546","347","452","181","709","149","25","33","720","232","2814","419","266","129","2548","416",
"0500000US29039","Cedar County, Missouri","13932","*****","13476","74","9","9","5","7","8","11","24","39","37","47","373","81","22","51","351","50",
"0500000US29041","Chariton County, Missouri","7615","*****","7313","20","181","37","14","10","5","7","0","15","3","5","99","33","2","3","97","33",
"0500000US29043","Christian County, Missouri","82053","*****","78504","301","482","140","538","214","483","108","40","49","290","179","1716","300","114","146","1602","226",
"0500000US29045","Clark County, Missouri","6860","*****","6689","17","19","15","25","22","3","7","0","15","0","15","124","31","0","15","124","31",
"0500000US29047","Clay County, Missouri","233135","*****","201570","682","13340","592","1094","295","4885","300","398","245","3649","520","8199","923","1197","385","7002","875",
"0500000US29049","Clinton County, Missouri","20494","*****","19482","89","351","55","134","81","118","23","0","20","116","90","293","89","13","17","280","86",
"0500000US29051","Cole County, Missouri","76603","*****","63844","394","8795","330","347","67","962","160","59","43","1143","406","1453","345","42","32","1411","341",
"0500000US29053","Cooper County, Missouri","17613","*****","15711","61","1113","73","49","36","60","23","17","31","137","57","526","96","35","32","491","95",
"0500000US29055","Crawford County, Missouri","24545","*****","23953","5","53","43","109","99","25","29","2","3","2","5","401","100","0","20","401","100",
"0500000US29057","Dade County, Missouri","7590","*****","7265","21","27","27","35","26","10","9","4","5","17","20","232","39","0","15","232","39",
"0500000US29059","Dallas County, Missouri","16508","*****","15733","153","14","15","151","125","19","22","0","17","127","127","464","141","42","48","422","115",
"0500000US29061","Daviess County, Missouri","8257","*****","8023","23","95","45","26","22","7","8","0","15","25","21","81","32","21","13","60","29",
"0500000US29063","DeKalb County, Missouri","12706","*****","10749","173","1298","166","124","59","42","13","7","9","41","28","445","95","12","12","433","93",
"0500000US29065","Dent County, Missouri","15578","*****","15006","36","87","88","117","44","64","79","0","17","25","32","279","96","0","17","279","96",
"0500000US29067","Douglas County, Missouri","13467","*****","13227","124","12","13","41","42","2","4","0","17","144","116","41","23","0","17","41","23",
"0500000US29069","Dunklin County, Missouri","31271","*****","26668","221","3017","176","115","58","108","39","0","23","736","224","627","179","3","4","624","180",
