"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)",
"0400000US29","Missouri","49593","259",
"0500000US29001","Adair County, Missouri","37967","3016",
"0500000US29003","Andrew County, Missouri","54804","5794",
"0500000US29005","Atchison County, Missouri","43438","3530",
"0500000US29007","Audrain County, Missouri","41930","1758",
"0500000US29009","Barry County, Missouri","37869","3173",
"0500000US29011","Barton County, Missouri","38877","3086",
"0500000US29013","Bates County, Missouri","41520","3295",
"0500000US29015","Benton County, Missouri","33428","1539",
"0500000US29017","Bollinger County, Missouri","39493","3809",
"0500000US29019","Boone County, Missouri","50813","833",
"0500000US29021","Buchanan County, Missouri","46680","2180",
"0500000US29023","Butler County, Missouri","36302","2253",
"0500000US29025","Caldwell County, Missouri","44722","2300",
"0500000US29027","Callaway County, Missouri","50362","2426",
"0500000US29029","Camden County, Missouri","46747","2148",
"0500000US29031","Cape Girardeau County, Missouri","48458","1530",
"0500000US29033","Carroll County, Missouri","41537","5245",
"0500000US29035","Carter County, Missouri","37162","5647",
"0500000US29037","Cass County, Missouri","63613","1928",
"0500000US29039","Cedar County, Missouri","33720","2573",
"0500000US29041","Chariton County, Missouri","41773","2682",
"0500000US29043","Christian County, Missouri","54392","1764",
"0500000US29045","Clark County, Missouri","45169","2334",
"0500000US29047","Clay County, Missouri","63702","1004",
"0500000US29049","Clinton County, Missouri","57486","3464",
"0500000US29051","Cole County, Missouri","54130","1444",
"0500000US29053","Cooper County, Missouri","44917","2048",
"0500000US29055","Crawford County, Missouri","36983","3689",
"0500000US29057","Dade County, Missouri","37904","2684",
"0500000US29059","Dallas County, Missouri","37695","3166",
"0500000US29061","Daviess County, Missouri","43669","3116",
"0500000US29063","DeKalb County, Missouri","43538","3443",
"0500000US29065","Dent County, Missouri","38020","2034",
"0500000US29067","Douglas County, Missouri","31333","2520",
"0500000US29069","Dunklin County, Missouri","31220","1190",
"0500000US29071","Franklin County, Missouri","50895","1755",
"0500000US29073","Gasconade County, Missouri","45505","3999",
"0500000US29075","Gentry County, Missouri","44024","2798",
"0500000US29077","Greene County, Missouri","41908","674",
"0500000US29079","Grundy County, Missouri","40187","3288",
"0500000US29081","Harrison County, Missouri","41173","3418",
"0500000US29083","Henry County, Missouri","42707","2670",
"0500000US29085","Hickory County, Missouri","33113","1934",
"0500000US29087","Holt County, Missouri","41017","2285",
"0500000US29089","Howard County, Missouri","45762","3884",
"0500000US29091","Howell County, Missouri","33964","1523",
"0500000US29093","Iron County, Missouri","36354","2083",
"0500000US29095","Jackson County, Missouri","48104","713",
"0500000US29097","Jasper County, Missouri","42648","1391",
"0500000US29099","Jefferson County, Missouri","58232","1245",
"0500000US29101","Johnson County, Missouri","48977","2076",
"0500000US29103","Knox County, Missouri","38816","1811",
"0500000US29105","Laclede County, Missouri","40436","1844",
"0500000US29107","Lafayette County, Missouri","50830","2421",
"0500000US29109","Lawrence County, Missouri","40505","1925",
"0500000US29111","Lewis County, Missouri","45708","3754",
"0500000US29113","Lincoln County, Missouri","55249","2712",
"0500000US29115","Linn County, Missouri","39286","1959",
"0500000US29117","Livingston County, Missouri","44266","4265",
"0500000US29119","McDonald County, Missouri","38846","2303",
"0500000US29121","Macon County, Missouri","37099","1885",
"0500000US29123","Madison County, Missouri","36359","4106",
"0500000US29125","Maries County, Missouri","40542","4185",
"0500000US29127","Marion County, Missouri","43828","2395",
"0500000US29129","Mercer County, Missouri","41817","2498",
"0500000US29131","Miller County, Missouri","40057","1978",
"0500000US29133","Mississippi County, Missouri","29214","2425",
"0500000US29135","Moniteau County, Missouri","48974","2057",
"0500000US29137","Monroe County, Missouri","41201","2086",
"0500000US29139","Montgomery County, Missouri","41096","1561",
"0500000US29141","Morgan County, Missouri","32807","1990",
"0500000US29143","New Madrid County, Missouri","31615","2106",
"0500000US29145","Newton County, Missouri","44474","1778",
"0500000US29147","Nodaway County, Missouri","39908","2643",
"0500000US29149","Oregon County, Missouri","30442","2185",
"0500000US29151","Osage County, Missouri","54119","2311",
"0500000US29153","Ozark County, Missouri","31087","1707",
"0500000US29155","Pemiscot County, Missouri","31671","1649",
"0500000US29157","Perry County, Missouri","53014","2112",
"0500000US29159","Pettis County, Missouri","40467","1894",
"0500000US29161","Phelps County, Missouri","41603","2343",
"0500000US29163","Pike County, Missouri","42779","3403",
"0500000US29165","Platte County, Missouri","70879","2964",
"0500000US29167","Polk County, Missouri","42483","2078",
"0500000US29169","Pulaski County, Missouri","49216","3300",
"0500000US29171","Putnam County, Missouri","38125","4710",
"0500000US29173","Ralls County, Missouri","48919","4582",
"0500000US29175","Randolph County, Missouri","40638","3746",
"0500000US29177","Ray County, Missouri","53459","3176",
"0500000US29179","Reynolds County, Missouri","36736","3486",
"0500000US29181","Ripley County, Missouri","34145","3788",
"0500000US29183","St. Charles County, Missouri","75603","1058",
"0500000US29185","St. Clair County, Missouri","33750","1930",
"0500000US29186","Ste. Genevieve County, Missouri","49356","3333",
"0500000US29187","St. Francois County, Missouri","41461","1415",
"0500000US29189","St. Louis County, Missouri","61103","590",
"0500000US29195","Saline County, Missouri","40645","1723",
"0500000US29197","Schuyler County, Missouri","37583","4191",
"0500000US29199","Scotland County, Missouri","41336","3896",
"0500000US29201","Scott County, Missouri","40276","1951",
"0500000US29203","Shannon County, Missouri","32284","3457",
"0500000US29205","Shelby County, Missouri","41351","3260",
"0500000US29207","Stoddard County, Missouri","38096","1839",
