"GEO_ID","NAME","B19013_001E","B19013_001M",
"0500000US29209","Stone County, Missouri","41944","2254",
"0500000US29211","Sullivan County, Missouri","42639","2979",
"0500000US29213","Taney County, Missouri","38040","1997",
"0500000US29215","Texas County, Missouri","35730","2785",
"0500000US29217","Vernon County, Missouri","40655","2039",
"0500000US29219","Warren County, Missouri","51509","2914",
"0500000US29221","Washington County, Missouri","36701","1927",
"0500000US29223","Wayne County, Missouri","33954","2715",
"0500000US29225","Webster County, Missouri","44814","1913",
"0500000US29227","Worth County, Missouri","44974","3786",
"0500000US29229","Wright County, Missouri","30581","2343",
"0500000US29510","St. Louis city, Missouri","36809","645",
