"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0400000US29","Missouri","6191814","*****","4799142","5282","679534","3552","17594","1204","132185","1874","8936","569","114587","4947","439836","6842","212955","5562","226881","4278",
"0500000US29001","Adair County, Missouri","25301","*****","22360","174","1123","112","99","63","526","179","0","23","116","82","1077","260","361","154","716","234",
"0500000US29003","Andrew County, Missouri","18065","*****","16854","138","242","75","8","10","146","16","0","19","81","56","734","156","407","135","327","81",
"0500000US29005","Atchison County, Missouri","5187","*****","4853","90","13","15","7","5","22","21","7","10","59","36","226","91","143","86","83","27",
"0500000US29007","Audrain County, Missouri","24548","*****","21817","199","1116","147","157","151","139","68","12","17","54","52","1253","252","209","125","1044","224",
"0500000US29009","Barry County, Missouri","35033","*****","28651","479","70","40","257","128","695","181","309","227","1547","416","3504","597","2336","586","1168","214",
"0500000US29011","Barton County, Missouri","11690","*****","10659","175","27","28","133","60","47","46","0","19","69","68","755","178","317","154","438","98",
"0500000US29013","Bates County, Missouri","16186","*****","15006","134","346","74","38","20","65","18","0","19","36","36","695","154","359","126","336","80",
"0500000US29015","Benton County, Missouri","20151","*****","18542","271","193","54","86","54","32","23","46","58","155","98","1097","274","623","299","474","109",
