"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"0500000US29109","Lawrence County, Missouri","25731","137","352","113","0","26","0","26","0","26","5","9","7","12","11","20","31","45","36","41","143","105","626","192","723","243","461","162","469","182","396","161","8494","559","1359","281","2126","299","4105","459","2041","327","2871","378","1216","262","163","57","96","60",
"0500000US29111","Lewis County, Missouri","6276","74","14","16","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","2","10","119","56","367","109","117","53","54","27","50","26","2538","193","340","112","563","124","665","133","390","89","753","141","263","67","34","31","7","11",
"0500000US29113","Lincoln County, Missouri","42591","112","381","137","0","29","1","5","41","56","1","3","4","7","0","29","10","15","154","99","107","93","339","123","560","217","1072","245","686","208","479","148","14893","764","1949","277","3969","416","6020","631","4104","560","5610","547","1970","368","109","64","132","90",
"0500000US29115","Linn County, Missouri","8231","59","87","55","0","19","0","19","0","19","3","5","0","19","0","19","7","13","15","16","0","19","140","56","56","25","135","77","190","79","70","52","3469","275","498","133","614","112","764","149","599","124","963","229","546","134","54","31","21","19",
"0500000US29117","Livingston County, Missouri","10203","63","130","68","0","19","0","19","0","19","1","2","10","13","0","19","0","19","21","27","45","29","250","96","223","98","197","67","273","85","183","87","3625","309","740","185","853","159","1034","139","831","207","1142","187","387","109","139","86","119","87",
"0500000US29119","McDonald County, Missouri","15769","79","420","139","0","23","0","23","7","13","24","29","45","40","57","46","116","84","61","36","39","25","516","188","390","142","439","173","365","111","213","79","5638","429","1386","244","979","180","2122","291","1014","186","1382","243","481","141","63","38","12","14",
"0500000US29121","Macon County, Missouri","10548","60","80","57","0","19","0","19","0","19","0","19","12","25","0","19","0","19","6","10","1","3","172","52","76","57","136","55","175","80","169","51","4107","293","565","148","900","138","1102","192","1004","185","1397","184","510","122","79","40","57","35",
"0500000US29123","Madison County, Missouri","8866","69","99","77","0","19","0","19","0","19","0","19","0","19","0","19","0","19","21","24","21","28","110","44","163","76","125","70","301","128","233","96","3510","350","420","136","694","151","1138","246","584","168","1029","236","360","111","40","47","18","21",
"0500000US29125","Maries County, Missouri","6085","33","139","79","0","17","3","6","0","17","0","17","3","4","3","5","0","17","19","20","2","4","146","60","101","66","145","76","57","40","118","61","2459","260","341","113","411","121","620","166","528","160","445","119","523","152","5","8","17","32",
"0500000US29127","Marion County, Missouri","19120","194","249","109","0","23","0","23","10","15","0","23","0","23","6","14","0","23","0","23","23","34","181","98","274","128","493","211","248","112","318","126","6920","486","845","178","1247","229","2240","363","1355","243","2804","405","1468","233","332","116","107","62",
"0500000US29129","Mercer County, Missouri","2364","36","7","8","0","12","3","5","0","12","0","12","10","15","0","12","0","12","5","6","11","9","51","32","25","18","28","17","38","25","39","29","833","89","178","48","187","53","295","63","225","55","301","77","103","47","17","15","8","7",
"0500000US29131","Miller County, Missouri","17520","99","83","54","33","27","0","23","0","23","3","7","2","4","0","23","0","23","85","89","24","27","233","116","321","118","516","178","305","111","459","146","5929","439","1037","230","1507","263","2167","271","1453","277","2182","317","983","206","169","70","29","22",
"0500000US29133","Mississippi County, Missouri","8218","64","44","28","1","2","0","19","1","2","0","19","0","19","7","11","27","31","72","46","14","14","227","105","171","71","351","154","256","106","174","76","3099","332","917","172","378","124","756","155","512","154","842","192","305","111","64","50","0","19",
"0500000US29135","Moniteau County, Missouri","10239","78","113","43","0","19","0","19","0","19","0","19","27","27","0","19","0","19","12","15","61","45","652","139","156","78","172","104","267","78","153","55","3718","323","851","169","664","115","1174","179","602","130","1120","183","423","104","19","20","55","39",
"0500000US29137","Monroe County, Missouri","6209","29","16","10","0","17","0","17","12","18","0","17","0","17","0","17","0","17","1","2","4","5","158","98","79","63","56","32","66","36","103","46","2806","300","277","93","454","104","574","117","431","83","902","187","210","63","28","17","32","26",
"0500000US29139","Montgomery County, Missouri","8076","44","57","26","0","19","0","19","0","19","5","7","0","19","0","19","0","19","6","8","22","18","148","53","136","52","242","77","156","54","138","46","2950","244","728","129","528","111","795","147","737","193","1039","189","307","93","52","29","30","20",
"0500000US29141","Morgan County, Missouri","15294","99","211","95","0","23","0","23","0","23","0","23","0","23","9","13","0","23","61","42","22","31","1318","303","280","148","463","132","255","115","318","152","4594","380","914","225","1149","202","1954","278","1205","196","1678","269","626","170","151","72","86","66",
"0500000US29143","New Madrid County, Missouri","10856","42","83","46","0","19","0","19","0","19","0","19","25","28","6","8","10","10","15","26","29","24","217","83","176","79","502","149","282","88","85","54","4504","274","651","122","636","143","915","158","1151","230","897","172","560","169","83","48","29","21",
"0500000US29145","Newton County, Missouri","40656","124","385","140","1","2","2","4","0","29","0","29","28","43","158","95","13","16","250","135","67","62","700","278","493","170","501","171","984","279","673","140","11260","622","2050","271","3421","346","5906","502","4192","434","6418","693","2032","357","706","203","416","157",
"0500000US29147","Nodaway County, Missouri","12448","94","30","14","0","23","0","23","1","2","1","5","0","23","24","24","1","3","1","2","0","23","129","59","148","94","95","49","80","33","86","37","4166","252","715","139","720","118","1853","268","925","158","2009","199","1124","212","125","53","215","81",
"0500000US29149","Oregon County, Missouri","6087","27","73","37","0","17","0","17","0","17","0","17","0","17","16","23","0","17","70","52","28","25","108","59","156","66","141","61","243","89","64","45","2695","240","234","69","278","87","822","198","395","109","374","124","306","122","83","66","1","3",
"0500000US29151","Osage County, Missouri","9061","62","55","45","0","19","0","19","0","19","0","19","1","2","8","11","18","22","14","21","6","10","274","121","64","42","106","54","207","84","45","29","3158","255","360","93","550","114","881","181","1078","192","1545","228","481","109","63","41","147","76",
"0500000US29153","Ozark County, Missouri","6691","20","45","29","0","17","0","17","0","17","0","17","4","8","31","41","11","14","3","16","41","60","266","139","126","84","175","54","227","91","71","41","2297","215","352","91","666","150","865","173","489","104","630","125","346","107","12","11","34","25",
"0500000US29155","Pemiscot County, Missouri","9920","140","143","67","0","19","0","19","13","21","34","49","17","25","3","4","6","8","42","36","42","36","210","74","124","70","344","125","355","119","178","76","4059","374","817","190","565","116","1166","285","550","116","806","173","347","84","88","54","11","11",
"0500000US29157","Perry County, Missouri","13212","91","213","143","0","19","0","19","49","70","0","19","14","23","0","19","5","9","12","20","26","31","422","111","220","111","270","105","303","114","252","90","4683","315","699","172","794","172","1351","208","1144","225","1941","284","684","192","87","48","43","35",
"0500000US29159","Pettis County, Missouri","28868","87","358","117","56","50","0","26","1","3","15","23","8","13","22","19","0","26","124","81","151","99","706","160","354","98","706","181","338","114","742","175","8940","502","1466","240","2533","324","3752","457","3280","413","3219","409","1543","246","356","143","198","82",
"0500000US29161","Phelps County, Missouri","28524","237","343","197","0","26","0","26","0","26","0","26","0","26","62","76","17","28","9","13","64","98","313","147","152","73","606","185","651","199","623","187","7100","687","1960","327","2047","330","3598","471","1751","295","4870","479","2913","410","630","163","815","197",
"0500000US29163","Pike County, Missouri","12382","108","54","38","0","19","0","19","0","19","6","10","0","19","0","19","0","19","52","36","42","31","127","50","193","68","403","118","333","80","347","127","5419","403","1007","151","581","111","1104","215","654","137","1371","203","609","147","61","30","19","14",
"0500000US29165","Platte County, Missouri","76182","146","281","127","52","62","0","29","0","29","15","21","1","3","10","19","0","29","160","108","113","111","232","127","318","152","410","134","435","175","497","167","14156","917","1774","310","5716","620","10533","751","6043","613","21732","949","9912","786","2539","330","1253","269",
"0500000US29167","Polk County, Missouri","21286","116","316","174","0","26","0","26","0","26","0","26","0","26","20","32","37","51","0","26","12","11","537","198","318","134","289","74","609","157","410","140","6389","483","1055","224","1925","310","2901","378","1680","308","2882","486","1241","248","228","99","437","153",
"0500000US29169","Pulaski County, Missouri","29551","523","345","173","0","29","2","4","0","29","2","4","0","29","0","29","36","57","0","29","7","7","261","135","252","103","322","121","261","132","306","127","7784","584","1323","281","2296","372","4701","579","4026","629","5126","586","1923","333","314","129","264","160",
