COUNTY,CENSUS_YEAR,COUNT(*)
CHARITON,2016,1
ATCHISON,2024,1
CALLAWAY,2016,1
CEDAR,2020,1
MONITEAU,2024,1
BATES,2020,1
ATCHISON,2020,1
CHARITON,2020,1
BOLLINGER,2024,1
BOLLINGER,2016,1
